id,value
flare,
flare.PARTSALES,
flare.PARTSALES.CP,
flare.PARTSALES.CP.Cp Ro Sales, 108724
flare.PARTSALES.CP.Tire Sales, 58937
flare.PARTSALES.CP.Gog, 16557 
flare.PARTSALES.CP.Ppm Sales, 6030 
flare.PARTSALES.IP,
flare.PARTSALES.IP.Internal Sales, 5864
flare.PARTSALES.WP,
flare.PARTSALES.WP.Warranty Sales, 13575
flare.PARTSALES.RETAIL,
flare.PARTSALES.RETAIL.Counter&Online Retail, 8730
flare.PARTSALES.WHOLESALE,
flare.PARTSALES.WHOLESALE.Wholesale Sales, 138936
